Year,Zip Code,County,Total Beneficiaries,Dual Eligible Beneficiaries,Non Dual Beneficiaries,Child Beneficiaries,Adult Beneficiaries,Dual Beneficiaries Admitted,Total Dual Admissions,Non Dual Beneficiaries Admitted,Total Non Dual Admissions,Total Beneficiaries Admitted,Total Admissions,Dual Beneficiaries ER ,Dual Beneficiaries ER Visits,Non Dual Beneficiaries ER,Non Dual Beneficiaries ER Visits,Total Beneficiaries ER,Total ER Visits
2012,10541,Putnam,1365,278,1087,475,890,30,41,148,190,178,231,42,86,248,465,290,551
2012,10542,Putnam,65,11,54,23,42,2,4,1,1,3,5,4,4,16,23,20,27
2012,10543,Westchester,2743,588,2155,1006,1737,79,124,231,338,310,462,69,129,465,817,534,946
2012,10545,Westchester,240,237,3,0,240,27,30,1,5,28,35,14,15,0,0,14,15
2012,10546,Westchester,47,9,38,9,38,1,1,2,2,3,3,1,5,11,25,12,30
2012,10547,Westchester,1213,325,888,365,848,85,118,108,189,193,307,106,265,306,700,412,965
2012,10548,Westchester,421,177,244,83,338,45,56,28,44,73,100,35,67,65,148,100,215
2012,10549,Westchester,2540,422,2118,1069,1471,68,89,295,383,363,472,53,86,595,964,648,1050
2012,10550,Westchester,17082,2066,15016,6174,10908,397,579,1632,2397,2029,2976,357,757,4341,8514,4698,9271
2012,10551,Westchester,189,56,133,46,143,12,15,20,28,32,43,14,39,50,133,64,172
2012,10552,Westchester,3159,730,2429,925,2234,123,155,275,338,398,493,87,143,579,1021,666,1164
2012,10553,Westchester,2775,318,2457,940,1835,54,81,226,365,280,446,43,91,687,1326,730,1417
2012,10557,Westchester,2,1,1,0,2,0,0,0,0,0,0,0,0,1,2,1,2
2012,10558,Westchester,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2012,10560,Westchester,179,82,97,34,145,10,15,7,10,17,25,15,20,24,29,39,49
2012,10562,Westchester,5488,757,4731,2581,2907,129,173,641,782,770,955,130,237,1332,2216,1462,2453
2012,10566,Westchester,6463,907,5556,2861,3602,167,229,713,951,880,1180,247,647,1957,3962,2204,4609
2012,10567,Westchester,1480,415,1065,442,1038,54,76,100,149,154,225,76,135,326,597,402,732
2012,10570,Westchester,645,124,521,210,435,20,32,62,90,82,122,23,43,133,256,156,299
2012,10571,Westchester,4,0,4,2,2,0,0,2,2,2,2,0,0,1,1,1,1
2012,10572,Westchester,8,0,8,4,4,0,0,0,0,0,0,0,0,2,2,2,2
2012,10573,Westchester,8135,1028,7107,3678,4457,154,192,856,1013,1010,1205,59,86,1481,2266,1540,2352
2012,10576,Westchester,101,30,71,12,89,2,3,8,21,10,24,3,5,17,22,20,27
2012,10577,Westchester,98,36,62,13,85,7,9,10,15,17,24,7,10,12,18,19,28
2012,10578,Westchester,266,201,65,29,237,21,27,8,10,29,37,14,28,11,25,25,53
2012,10579,Putnam,396,77,319,133,263,3,3,39,51,42,54,10,22,89,148,99,170
2012,10580,Westchester,473,125,348,127,346,11,14,32,47,43,61,7,7,62,99,69,106
2012,10583,Westchester,1337,455,882,232,1105,73,96,78,129,151,225,49,88,161,254,210,342
2012,10587,Westchester,41,15,26,8,33,1,1,1,1,2,2,0,0,8,13,8,13
2012,10588,Westchester,234,47,187,80,154,7,9,19,20,26,29,7,14,53,86,60,100
2012,10589,Westchester,456,315,141,41,415,44,51,14,16,58,67,31,55,22,41,53,96
2012,10590,Westchester,174,52,122,34,140,5,7,10,24,15,31,1,1,20,33,21,34
2012,10591,Westchester,4207,804,3403,1463,2744,107,145,345,435,452,580,151,288,885,1520,1036,1808
2012,10594,Westchester,311,69,242,77,234,6,14,28,46,34,60,7,12,67,139,74,151
2012,10595,Westchester,776,246,530,121,655,33,55,103,198,136,253,48,142,207,559,255,701
2012,10596,Westchester,253,52,201,70,183,12,17,28,65,40,82,12,37,68,158,80,195
2012,10597,Westchester,23,3,20,8,15,1,1,1,1,2,2,1,1,3,13,4,14
2012,10598,Westchester,1361,397,964,321,1040,51,72,84,134,135,206,52,94,236,459,288,553
2012,10601,Westchester,2938,520,2418,1032,1906,96,139,279,456,375,595,96,182,848,1848,944,2030
2012,10602,Westchester,142,24,118,51,91,8,11,16,21,24,32,4,11,37,69,41,80
2012,10603,Westchester,3098,513,2585,1169,1929,83,113,302,459,385,572,123,241,770,1498,893,1739
2012,10604,Westchester,1459,208,1251,546,913,30,38,142,201,172,239,37,68,359,602,396,670
2012,10605,Westchester,1988,413,1575,671,1317,53,73,186,293,239,366,65,105,472,937,537,1042
2012,10606,Westchester,3879,688,3191,1634,2245,111,141,401,521,512,662,109,186,891,1576,1000,1762
2012,10607,Westchester,1127,183,944,424,703,24,34,103,145,127,179,40,62,236,410,276,472
2012,10701,Westchester,28600,3733,24867,11232,17368,811,1257,2836,4140,3647,5397,875,1857,8214,16302,9089,18159
2012,10702,Westchester,371,89,282,71,300,17,29,55,112,72,141,21,47,129,334,150,381
2012,10703,Westchester,6267,972,5295,2283,3984,214,314,533,799,747,1113,206,397,1614,3068,1820,3465
2012,10704,Westchester,5270,814,4456,1678,3592,111,168,472,618,583,786,97,150,1106,1921,1203,2071
2012,10705,Westchester,16394,1795,14599,6541,9853,346,464,1536,2095,1882,2559,391,860,4596,8773,4987,9633
2012,10706,Westchester,658,232,426,132,526,60,73,48,77,108,150,35,44,101,188,136,232
2012,10707,Westchester,997,203,794,315,682,41,52,69,94,110,146,27,40,196,311,223,351
2012,10708,Westchester,978,252,726,232,746,30,41,86,110,116,151,22,42,156,254,178,296
