Discharge Year,Software Version,Patient Zipcode,Observed Rate Per 100 People,Expected Rate Per 100 People,Risk Adjusted Rate Per 100 People,Difference in Rates
2015,1.32,13652,32.40,20.14,40.14,12.26
2015,1.32,13654,25.82,19.21,33.53,6.61
2015,1.32,13655,33.82,134.01,6.30,-100.19
2015,1.32,13656,13.14,20.66,15.86,-7.53
2015,1.32,13658,35.35,19.74,44.69,15.61
2015,1.32,13659,30.25,19.20,39.32,11.06
2015,1.32,13660,35.84,19.85,45.05,15.99
2015,1.32,13661,19.59,19.57,24.97,0.02
2015,1.32,13662,45.22,24.69,45.70,20.53
2015,1.32,13665,57.27,20.02,71.38,37.25
2015,1.32,13666,128.94,22.94,140.26,106.00
2015,1.32,13667,48.58,21.27,56.99,27.31
2015,1.32,13668,37.20,21.53,43.13,15.68
2015,1.32,13669,44.57,22.10,50.32,22.47
2015,1.32,13670,57.59,20.33,70.70,37.26
2015,1.32,13672,60.60,18.64,81.11,41.96
2015,1.32,13673,29.90,24.93,29.93,4.97
2015,1.32,13675,6.49,20.24,8.00,-13.75
2015,1.32,13676,27.93,21.71,32.11,6.22
2015,1.32,13679,12.17,21.22,14.31,-9.05
2015,1.32,13680,28.81,19.63,36.63,9.18
2015,1.32,13681,43.26,19.61,55.06,23.66
2015,1.32,13682,21.71,20.80,26.04,0.91
2015,1.32,13684,43.29,19.54,55.30,23.76
2015,1.32,13685,20.03,21.22,23.56,-1.19
2015,1.32,13687,37.53,18.36,51.01,19.17
2015,1.32,13690,83.19,20.10,103.28,63.09
2015,1.32,13691,18.74,22.38,20.89,-3.64
2015,1.32,13693,28.54,21.29,33.45,7.25
2015,1.32,13694,28.29,19.80,35.65,8.49
2015,1.32,13695,13.38,19.06,17.52,-5.68
2015,1.32,13696,50.61,19.63,64.32,30.98
2015,1.32,13697,42.13,20.97,50.13,21.16
2015,1.32,13730,33.34,20.19,41.21,13.16
2015,1.32,13731,29.51,19.09,38.57,10.42
2015,1.32,13732,11.29,18.70,15.06,-7.41
2015,1.32,13733,36.06,19.78,45.48,16.28
2015,1.32,13734,5.15,18.92,6.79,-13.78
2015,1.32,13736,14.26,19.25,18.48,-5.00
2015,1.32,13739,21.63,20.24,26.66,1.39
2015,1.32,13740,30.42,19.33,39.27,11.09
2015,1.32,13743,9.80,20.19,12.11,-10.39
2015,1.32,13744,15.50,20.49,18.88,-4.99
2015,1.32,13746,17.70,20.54,21.50,-2.84
2015,1.32,13748,21.16,19.93,26.49,1.23
2015,1.32,13750,36.03,18.97,47.39,17.06
2015,1.32,13751,54.33,18.79,72.14,35.54
2015,1.32,13752,18.44,19.82,23.21,-1.39
2015,1.32,13753,28.35,22.38,31.60,5.96
2015,1.32,13754,16.23,20.22,20.02,-4.00
2015,1.32,13755,42.27,19.06,55.35,23.22
2015,1.32,13756,44.53,19.14,58.05,25.39
2015,1.32,13757,17.65,19.59,22.48,-1.94
2015,1.32,13760,18.93,21.40,22.07,-2.47
2015,1.32,13775,25.46,19.47,32.62,5.98
2015,1.32,13777,36.68,19.43,47.11,17.25
2015,1.32,13778,17.93,19.82,22.57,-1.90
2015,1.32,13780,36.31,19.57,46.30,16.74
2015,1.32,13782,33.92,20.26,41.77,13.65
2015,1.32,13783,18.77,20.60,22.73,-1.84
2015,1.32,13786,31.14,19.75,39.34,11.39
2015,1.32,13787,24.21,19.45,31.05,4.75
2015,1.32,13788,45.43,21.44,52.89,24.00
2015,1.32,13790,32.38,23.33,34.64,9.05
2015,1.32,13795,20.13,20.35,24.68,-0.22
2015,1.32,13796,25.27,20.15,31.30,5.12
2015,1.32,13797,17.77,19.50,22.74,-1.73
2015,1.32,13801,33.20,20.32,40.77,12.88
2015,1.32,13802,19.97,19.38,25.71,0.59
2015,1.32,13803,33.79,19.46,43.33,14.33
2015,1.32,13804,92.93,19.67,117.89,73.26
2015,1.32,13806,222.00,19.03,291.05,202.97
2015,1.32,13807,25.12,19.56,32.05,5.56
2015,1.32,13808,27.70,20.05,34.48,7.65
2015,1.32,13809,48.56,19.03,63.66,29.52
2015,1.32,13810,22.25,19.53,28.43,2.72
2015,1.32,13811,12.54,19.39,16.15,-6.84
2015,1.32,13812,4.91,18.38,6.66,-13.47
2015,1.32,13813,39.74,21.97,45.14,17.77
2015,1.32,13815,54.58,21.13,64.45,33.45
2015,1.32,13820,22.28,22.36,24.86,-0.08
2015,1.32,13825,21.82,20.47,26.61,1.36
2015,1.32,13826,8.95,19.17,11.65,-10.22
2015,1.32,13827,10.18,20.28,12.52,-10.10
2015,1.32,13830,39.38,20.33,48.35,19.06
2015,1.32,13832,72.00,19.30,93.08,52.70
2015,1.32,13833,21.52,20.07,26.76,1.45
2015,1.32,13835,24.16,19.69,30.62,4.47
2015,1.32,13838,69.77,20.15,86.42,49.62
2015,1.32,13839,45.67,19.11,59.63,26.56
2015,1.32,13841,30.62,19.22,39.76,11.40
2015,1.32,13842,37.47,20.40,45.83,17.07
2015,1.32,13843,34.42,19.82,43.34,14.60
2015,1.32,13844,43.51,20.03,54.20,23.48
2015,1.32,13846,35.62,21.85,40.67,13.77
2015,1.32,13849,35.12,19.40,45.18,15.72
2015,1.32,13850,10.15,20.36,12.44,-10.21
2015,1.32,13856,44.57,19.71,56.42,24.86
2015,1.32,13859,21.98,19.76,27.76,2.22
2015,1.32,13861,17.65,20.28,21.71,-2.64
2015,1.32,13862,19.39,20.25,23.89,-0.86
2015,1.32,13863,30.02,20.54,36.48,9.48
2015,1.32,13864,13.05,20.84,15.62,-7.80
2015,1.32,13865,18.13,19.67,23.00,-1.54
2015,1.32,13901,32.84,22.85,35.86,9.99
2015,1.32,13903,28.21,23.12,30.44,5.09
2015,1.32,13904,27.51,22.80,30.11,4.71
2015,1.32,13905,31.65,24.96,31.64,6.69
2015,1.32,14001,12.24,20.83,14.66,-8.60
2015,1.32,14004,11.24,21.94,12.79,-10.70
2015,1.32,14005,19.03,19.60,24.23,-0.57
2015,1.32,14006,10.46,21.43,12.18,-10.97
2015,1.32,14008,20.09,20.41,24.56,-0.32
2015,1.32,14009,18.35,19.47,23.51,-1.12
2015,1.32,14011,13.19,26.73,12.31,-13.55
2015,1.32,14012,22.02,20.01,27.46,2.01
2015,1.32,14013,26.86,54.83,12.22,-27.97
2015,1.32,14020,30.88,23.15,33.29,7.73
2015,1.32,14024,22.81,18.77,30.32,4.04
2015,1.32,14025,12.44,19.14,16.22,-6.70
2015,1.32,14026,10.62,21.36,12.41,-10.74
2015,1.32,14028,23.56,19.42,30.27,4.14
2015,1.32,14030,16.88,19.00,22.16,-2.12
2015,1.32,14031,11.34,19.13,14.79,-7.79
2015,1.32,14032,7.88,18.83,10.45,-10.95
2015,1.32,14033,12.59,18.66,16.84,-6.06
2015,1.32,14034,14.24,23.04,15.42,-8.80
2015,1.32,14036,14.04,19.96,17.55,-5.92
2015,1.32,14037,11.67,18.14,16.05,-6.47
2015,1.32,14039,26.55,20.70,32.00,5.85
2015,1.32,14040,12.14,18.67,16.22,-6.53
2015,1.32,14041,21.99,22.59,24.29,-0.60
2015,1.32,14042,23.27,19.37,29.98,3.90
2015,1.32,14043,15.01,20.05,18.69,-5.03
2015,1.32,14047,13.44,20.31,16.51,-6.87
2015,1.32,14048,2.74,23.88,2.87,-21.13
2015,1.32,14051,8.77,19.12,11.45,-10.35
2015,1.32,14052,12.00,18.90,15.85,-6.89
2015,1.32,14054,19.50,18.91,25.74,0.59
2015,1.32,14055,17.21,18.53,23.18,-1.32
2015,1.32,14057,12.93,19.17,16.83,-6.24
2015,1.32,14058,19.07,20.90,22.77,-1.83
2015,1.32,14059,12.98,18.13,17.87,-5.15
2015,1.32,14060,14.88,18.54,20.02,-3.66
2015,1.32,14062,2.97,20.90,3.54,-17.93
2015,1.32,14063,2.31,21.57,2.67,-19.26
2015,1.32,14065,19.48,18.73,25.95,0.75
2015,1.32,14066,17.85,18.41,24.19,-0.56
2015,1.32,14067,16.93,20.38,20.73,-3.45
2015,1.32,14068,14.64,19.69,18.55,-5.05
2015,1.32,14069,14.96,18.00,20.74,-3.04
2015,1.32,14070,5.32,34.87,3.81,-29.55
2015,1.32,14072,12.27,20.02,15.29,-7.75
2015,1.32,14075,16.03,19.43,20.58,-3.40
2015,1.32,14080,14.64,19.36,18.87,-4.72
2015,1.32,14081,4.72,65.84,1.79,-61.12
